date,overall_status,daily_change,regime,action,risk_1987,risk_1999,2y,10y,30y,real10y,term_premium,2s10s_bp,ig_oas,hy_oas
2026-08-14,관찰,유사,공격,상승 추세 추종,0,0,4.17,4.68,5.25,2.41,0.8257,51.0,80.0,267.0
2026-08-17,관찰,유사,공격,상승 추세 추종,0,0,4.19,4.72,5.31,2.44,0.8393,53.0,81.0,270.0
2026-08-18,관찰,유사,공격,상승 추세 추종,0,0,4.19,4.71,5.28,2.41,0.8393,52.0,82.0,275.0
2026-08-19,안정,완화,공격,상승 추세 추종,0,0,4.19,4.65,5.19,2.35,0.8393,46.0,81.0,273.0
2026-08-20,안정,유사,공격,상승 추세 추종,0,0,4.19,4.69,5.23,2.35,0.8393,50.0,82.0,275.0
2026-08-21,관찰,악화,공격,상승 추세 추종,0,0,4.24,4.74,5.27,2.4,0.8393,50.0,81.0,270.0
2026-08-24,안정,유사,공격,상승 추세 추종,0,0,4.24,4.7,5.23,2.38,0.8682,46.0,81.0,269.0
2026-08-25,안정,완화,공격,상승 추세 추종,0,0,4.17,4.64,5.17,2.32,0.8682,47.0,81.0,270.0
2026-08-26,안정,유사,공격,상승 추세 추종,0,0,4.19,4.66,5.18,2.34,0.8682,47.0,80.0,267.0
2026-08-27,안정,유사,공격,상승 추세 추종,0,0,4.2,4.67,5.19,2.34,0.8682,47.0,79.0,263.0
2026-08-28,안정,악화,공격,상승 추세 추종,0,0,4.34,4.73,5.22,2.42,0.8682,39.0,79.0,260.0
2026-08-31,관찰,유사,공격,상승 추세 추종,0,0,4.34,4.75,5.25,2.44,0.8751,41.0,80.0,263.0
2026-09-01,관찰,유사,공격,상승 추세 추종,0,0,4.39,4.79,5.27,2.44,0.8751,40.0,81.0,265.0
